Word,Part of Speech
'hood,Noun
's gravenhage,Noun
'tween,Adverb
'tween decks,Adverb
.22,Noun
.22 caliber,Adjective
.22 calibre,Adjective
.22-caliber,Adjective
.22-calibre,Adjective
.38 caliber,Adjective
.38 calibre,Adjective
.38-caliber,Adjective
.38-calibre,Adjective
.45 caliber,Adjective
.45 calibre,Adjective
.45-caliber,Adjective
.45-calibre,Adjective
0,Adjective/Noun
1,Adjective/Noun
1 chronicles,Noun
1 esdras,Noun
1 kings,Noun
1 maccabees,Noun
1 samuel,Noun
1-dodecanol,Noun
1-hitter,Noun
10,Adjective/Noun
10-membered,Adjective
100,Adjective/Noun
1000,Adjective/Noun
10000,Noun
100000,Noun
1000000,Noun
1000000000,Noun
1000000000000,Noun
1000th,Adjective
100th,Adjective
101,Adjective
101st,Adjective
105,Adjective
105th,Adjective
10th,Adjective
11,Adjective/Noun
11 november,Noun
11-plus,Noun
110,Adjective
110th,Adjective
115,Adjective
115th,Adjective
11th,Adjective
12,Adjective/Noun
12-tone music,Noun
12-tone system,Noun
120,Adjective/Noun
120th,Adjective
125,Adjective
125th,Adjective
12th,Adjective
13,Adjective/Noun
130,Adjective
130th,Adjective
135,Adjective
135th,Adjective
13th,Adjective
14,Adjective/Noun
14 july,Noun
140,Adjective
140th,Adjective
144,Noun
145,Adjective
145th,Adjective
14th,Adjective
15,Adjective/Noun
15 august 1945,Noun
15 may organization,Noun
15 minutes,Noun
150,Adjective
150th,Adjective
1530s,Noun
155,Adjective
155th,Adjective
15th,Adjective
16,Adjective/Noun
16 pf,Noun
160,Adjective
160th,Adjective
165,Adjective
165th,Adjective
16th,Adjective
17,Adjective/Noun
17 november,Noun
170,Adjective
170th,Adjective
1728,Noun
175,Adjective
1750s,Noun
175th,Adjective
1760s,Noun
1770s,Noun
1780s,Noun
1790s,Noun
17th,Adjective
18,Adjective/Noun
18-karat gold,Noun
180,Adjective
180th,Adjective
1820s,Noun
1830s,Noun
1840s,Noun
1850s,Noun
1860s,Noun
1870s,Noun
1880s,Noun
1890s,Noun
18th,Adjective
19,Adjective/Noun
190,Adjective
1900s,Noun
190th,Adjective
1920s,Noun
1930s,Noun
1940s,Noun
1950s,Noun
1960s,Noun
1970s,Noun
1980s,Noun
1990s,Noun
19th,Adjective
1st,Adjective
1st baron beaverbrook,Noun
1st baron verulam,Noun
1st class,Noun
1st earl attlee,Noun
1st earl baldwin of bewdley,Noun
1st earl of balfour,Noun
1st lieutenant,Noun
1st viscount montgomery of alamein,Noun
1st-class mail,Noun
2,Adjective/Noun
2 chronicles,Noun
2 esdras,Noun
2 kings,Noun
2 maccabees,Noun
2 samuel,Noun
2-dimensional,Adjective
2-hitter,Noun
2-hydroxybenzoic acid,Noun
2-methylpropenoic acid,Noun
20,Adjective/Noun
20/20,Noun
200,Adjective
200th,Adjective
20th,Adjective
21,Adjective/Noun
21st,Adjective
22,Adjective/Noun
22-karat gold,Noun
22nd,Adjective
23,Adjective/Noun
23rd,Adjective
24,Adjective/Noun
24-hour interval,Noun
24-karat gold,Noun
24/7,Noun
24th,Adjective
25,Adjective/Noun
25th,Adjective
26,Adjective/Noun
26th,Adjective
27,Adjective/Noun
27th,Adjective
28,Adjective/Noun
28th,Adjective
29,Adjective/Noun
29th,Adjective
2d,Adjective
2nd,Adjective
2nd lieutenant,Noun
