term,aliases,type,source,code
abdomen,abdominal region,AnatomicalSite,manual,
epigastrium,epigastric region,AnatomicalSite,manual,
pancreas,pancreatic region,AnatomicalSite,manual,
pancreatic tail,tail of pancreas,AnatomicalSite,manual,
stomach,gastric region,AnatomicalSite,manual,
liver,hepatic region,AnatomicalSite,manual,
spleen,splenic region,AnatomicalSite,manual,
left atrium,left atrial region,AnatomicalSite,manual,
lung,pulmonary region,AnatomicalSite,manual,
esophagus,oesophagus,AnatomicalSite,manual,
colon,large intestine,AnatomicalSite,manual,
appendix,vermiform appendix,AnatomicalSite,manual,
uterus,uterine region,AnatomicalSite,manual,
skull,cranial region,AnatomicalSite,manual,
temporal lobe,,AnatomicalSite,manual,
heart,cardiac region,AnatomicalSite,manual,
kidney,renal region,AnatomicalSite,manual,
bladder,urinary bladder,AnatomicalSite,manual,
brain,cerebral region,AnatomicalSite,manual,
thyroid,thyroid gland,AnatomicalSite,manual,
gallbladder,,AnatomicalSite,manual,
small intestine,small bowel,AnatomicalSite,manual,
rectum,,AnatomicalSite,manual,
bile duct,biliary duct,AnatomicalSite,manual,
duodenum,,AnatomicalSite,manual,
aorta,aortic region,AnatomicalSite,manual,
hip,hip joint,AnatomicalSite,manual,
knee,knee joint,AnatomicalSite,manual,
shoulder,shoulder joint,AnatomicalSite,manual,
wrist,wrist joint,AnatomicalSite,manual,
ankle,ankle joint,AnatomicalSite,manual,
ovary,ovarian region,AnatomicalSite,manual,
bone marrow,,AnatomicalSite,manual,
lymph node,,AnatomicalSite,manual,
thorax,chest,AnatomicalSite,manual,
chest wall,,AnatomicalSite,manual,
retroperitoneum,retroperitoneal space,AnatomicalSite,manual,
peritoneum,peritoneal cavity,AnatomicalSite,manual,
adrenal gland,adrenal region,AnatomicalSite,manual,
