term,aliases,type,source,code
hypertension,high blood pressure,Diagnosis,manual,
type 2 diabetes mellitus,type 2 diabetes|diabetes mellitus type 2|type II diabetes,Diagnosis,manual,
systemic lupus erythematosus,SLE|lupus erythematosus|lupus,Diagnosis,manual,
COVID-19,covid 19|COVID19,Diagnosis,manual,
pancreatitis,pancreatic inflammation,Diagnosis,manual,
acute pancreatitis,,Diagnosis,manual,
chronic pancreatitis,,Diagnosis,manual,
gastric outlet obstruction,,Diagnosis,manual,
gastroparesis,,Diagnosis,manual,
infective endocarditis,,Diagnosis,manual,
heart failure,cardiac failure,Diagnosis,manual,
pneumothorax,,Diagnosis,manual,
ulcerative colitis,,Diagnosis,manual,
anemia,anaemia,Diagnosis,manual,
iron deficiency anemia,iron deficiency anaemia,Diagnosis,manual,
pulmonary embolism,,Diagnosis,manual,
hypothyroidism,,Diagnosis,manual,
Graves disease,Graves' disease,Diagnosis,manual,
Sjogren syndrome,Sjögren syndrome|Sjogren's syndrome,Diagnosis,manual,
bullous pemphigoid,,Diagnosis,manual,
acute appendicitis,,Diagnosis,manual,
paroxysmal cold hemoglobinuria,,Diagnosis,manual,
sepsis,septicemia|septicaemia,Diagnosis,manual,
bone fracture,fracture,Diagnosis,manual,
adenocarcinoma,,Diagnosis,manual,
adenoma,adenomatous polyp,Diagnosis,manual,
liver cirrhosis,cirrhosis,Diagnosis,manual,
pancreatic neoplasm,pancreatic tumor|pancreatic cancer|pancreatic mass,Diagnosis,manual,
gastric neoplasm,stomach neoplasm|gastric cancer|stomach cancer,Diagnosis,manual,
