term,aliases,type,source,code
computed tomography,CT|computed tomography scan|CT scan,Exam,manual,
magnetic resonance imaging,MRI|magnetic resonance,Exam,manual,
endoscopic ultrasound,EUS|endoscopic ultrasonography|EUS-FNA|endoscopic ultrasound-guided fine needle aspiration,Exam,manual,
echocardiography,echo|echocardiogram,Exam,manual,
electrocardiogram,ECG|EKG,Exam,manual,
ultrasound,sonography|ultrasonography,Exam,manual,
endoscopy,endoscopic examination,Exam,manual,
gastroscopy,upper endoscopy|upper gastrointestinal endoscopy|esophagogastroduodenoscopy|oesophagogastroduodenoscopy|EGD|OGD,Exam,manual,
colonoscopy,,Exam,manual,
lipase,serum lipase|lipase level,Exam,manual,
C-reactive protein,CRP|C reactive protein,Exam,manual,
complete blood count,CBC|full blood count|FBC,Exam,manual,
blood glucose,glucose level|serum glucose,Exam,manual,
hemoglobin,haemoglobin|Hb,Exam,manual,
biopsy,tissue biopsy,Exam,manual,
carcinoembryonic antigen,CEA,Exam,manual,
carbohydrate antigen 19-9,CA 19-9|CA19-9,Exam,manual,
antibody testing,serology|autoantibody test,Exam,manual,
