term,aliases,type,source,code
epigastric tenderness,abdominal tenderness,Finding,manual,
peripancreatic fat stranding,peripancreatic stranding,Finding,manual,
pancreatic pseudocyst,pseudocyst of pancreas,Finding,manual,
solid mass,solid lesion|mass|masses,Finding,manual,
pleural effusion,,Finding,manual,
atrial mass,cardiac mass,Finding,manual,
tumor,tumour|neoplasm|growth,Finding,manual,
thrombosis,thrombus,Finding,manual,
stenosis,narrowing,Finding,manual,
edema,oedema|swelling,Finding,manual,
jaundice,icterus,Finding,manual,
rash,skin rash|eruption,Finding,manual,
tachycardia,,Finding,manual,
bradycardia,,Finding,manual,
hypotension,,Finding,manual,
