term,aliases,type,source,code
abdominal pain,abdominal discomfort|stomach pain,Symptom,manual,
epigastric pain,epigastric discomfort|epigastric abdominal pain,Symptom,manual,
nausea,nauseous|nausea and vomiting,Symptom,manual,
fever,febrile|low-grade fever,Symptom,manual,
shortness of breath,dyspnea|breathlessness,Symptom,manual,
chest pain,thoracic pain,Symptom,manual,
headache,head pain,Symptom,manual,
vomiting,emesis,Symptom,manual,
diarrhea,diarrhoea,Symptom,manual,
fatigue,tiredness,Symptom,manual,
cough,productive cough,Symptom,manual,
bleeding,hemorrhage|haemorrhage,Symptom,manual,
constipation,,Symptom,manual,
dysphagia,difficulty swallowing,Symptom,manual,
hematuria,haematuria|blood in urine,Symptom,manual,
hematochezia,haematochezia|blood in stool|rectal bleeding,Symptom,manual,
melena,melaena|black tarry stool,Symptom,manual,
weight loss,unintentional weight loss,Symptom,manual,
dizziness,lightheadedness,Symptom,manual,
myalgia,muscle pain,Symptom,manual,
seizure,convulsion,Symptom,manual,
