term,aliases,type,source,code
intravenous fluids,IV fluids|IV fluid therapy,Treatment,manual,
analgesia,pain medication|pain relief,Treatment,manual,
anticoagulation,anticoagulant therapy|anticoagulation therapy,Treatment,manual,
surgery,surgical treatment|operative treatment,Treatment,manual,
laparoscopy,laparoscopic surgery,Treatment,manual,
laparoscopic appendectomy,laparoscopic appendicectomy,Treatment,manual,
appendectomy,appendicectomy,Treatment,manual,
gastrojejunostomy,,Treatment,manual,
stent placement,stenting|stent insertion,Treatment,manual,
blood transfusion,transfusion,Treatment,manual,
drainage,fluid drainage,Treatment,manual,
cystgastrostomy,EUS-guided cystgastrostomy,Treatment,manual,
pancreatectomy,distal pancreatectomy|partial pancreatectomy,Treatment,manual,
laparotomy,exploratory laparotomy,Treatment,manual,
chest tube placement,chest tube|thoracostomy,Treatment,manual,
chemotherapy,,Treatment,manual,
radiotherapy,radiation therapy,Treatment,manual,
corticosteroid therapy,steroid therapy,Treatment,manual,
antibiotic therapy,antibiotics,Treatment,manual,
catheter placement,catheterization|catheterisation,Treatment,manual,
