term,aliases,type,source,code
mg/L,milligrams per liter|mg/l,Unit,manual,
U/L,u/l|units per liter,Unit,manual,
cm,centimeter|centimeters|centimetre|centimetres,Unit,manual,
mm,millimeter|millimeters|millimetre|millimetres,Unit,manual,
mL,milliliter|milliliters|millilitre|millilitres,Unit,manual,
L,liter|liters|litre|litres,Unit,manual,
mg,milligram|milligrams,Unit,manual,
g,gram|grams,Unit,manual,
kg,kilogram|kilograms,Unit,manual,
days,day,Unit,manual,
hours,hour,Unit,manual,
minutes,minute,Unit,manual,
weeks,week,Unit,manual,
months,month,Unit,manual,
years,year|y.o.,Unit,manual,
mmHg,millimeters of mercury,Unit,manual,
mmol/L,mmol/l|millimoles per liter,Unit,manual,
g/dL,g/dl|grams per deciliter,Unit,manual,
IU/L,iu/l|international units per liter,Unit,manual,
ng/mL,ng/ml|nanograms per milliliter,Unit,manual,
ng/dL,ng/dl|nanograms per deciliter,Unit,manual,
pg/mL,pg/ml|picograms per milliliter,Unit,manual,
mEq/L,meq/l|milliequivalents per liter,Unit,manual,
bpm,beats per minute,Unit,manual,
mm/h,mm/hr|millimeters per hour,Unit,manual,
%,percent,Unit,manual,
mcg,microgram|micrograms,Unit,manual,
IU,international units,Unit,manual,
